Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,08/01/20,0.83,0.85,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,8.83,2.58
month,Student,Active,07/01/20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.83,0.8
month,Student,Active,06/01/20,0.63,0.1,0.03,0.0,0.08,0.05,0.18,0.28,0.28,0.1,0.15,0.13,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.32,13.55
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,15.82,6.25,5.68,4.82,4.53,4.92,4.05,4.3,3.7,3.25,3.37,2.72,1.45,0.73,0.17,0.0,0.0,0.0,0.0,0.0,0.0,65.75,143.67,346.6
month,Student,Active,02/01/20,38.1,23.52,14.13,12.05,10.33,9.88,8.02,9.0,8.72,10.08,9.88,10.77,8.2,7.15,4.02,1.05,0.0,0.0,0.0,0.0,0.0,184.9,291.07,1115.77
month,Student,Active,01/01/20,20.63,8.08,6.17,3.68,2.18,2.52,3.3,4.18,3.05,2.17,0.88,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.95,79.7,212.65
month,Student,Active,12/01/19,0.52,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.85,1.12
month,Student,Active,11/01/19,1.1,1.0,0.88,1.13,3.05,6.45,4.97,3.83,2.75,1.6,0.37,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33,29.38,176.85
month,Student,Active,10/01/19,7.65,4.93,2.43,3.27,2.17,2.45,3.15,3.43,3.65,6.17,9.78,14.42,28.37,11.25,8.33,1.6,0.0,0.0,0.0,0.0,0.0,113.05,130.5,1164.93
month,Student,Active,09/01/19,19.97,6.87,5.27,5.13,4.42,3.92,4.52,4.32,4.62,8.37,12.47,26.33,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.08,167.73,1174.82
month,Student,Active,08/01/19,25.65,6.57,3.85,3.73,3.47,3.02,3.07,2.85,3.88,5.6,8.23,14.35,20.88,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.1,162.07,783.47
month,Student,Active,07/01/19,11.72,10.13,6.53,5.1,2.3,3.85,3.3,2.52,4.38,5.1,10.15,14.58,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.18,138.8,702.63
month,Student,Active,06/01/19,2.8,3.12,2.0,2.23,2.07,1.38,1.73,1.58,1.8,1.48,2.38,7.22,10.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.73,61.5,353.38
month,Student,Active,05/01/19,1.1,1.05,5.92,1.2,1.02,0.3,0.32,0.83,1.23,2.1,3.17,6.2,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,37.0,225.32
month,Student,Active,04/01/19,3.73,0.53,1.83,1.6,0.62,1.05,3.47,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13,48.42,100.75
month,Student,Active,03/01/19,0.65,0.22,0.08,0.07,0.27,0.03,0.12,0.03,0.13,0.18,0.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,9.47,16.75
