Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,08/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0
month,Student,Active,07/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,0.88,0.93,1.98,2.68,1.95,2.78,2.5,2.82,2.68,2.33,2.93,2.48,4.1,3.85,1.18,0.0,0.0,0.0,0.0,0.0,0.0,36.1,51.23,320.42
month,Student,Active,02/01/20,0.3,0.02,0.02,0.03,0.03,0.05,0.05,0.13,0.2,0.15,0.47,0.38,0.57,0.6,0.58,0.0,0.0,0.0,0.0,0.0,0.0,3.58,9.55,39.95
month,Student,Active,01/01/20,0.12,0.05,0.1,0.17,0.07,0.18,0.22,0.28,0.48,0.73,0.95,0.9,1.65,1.67,2.95,0.0,0.0,0.0,0.0,0.0,0.0,10.52,10.7,128.37
month,Student,Active,12/01/19,0.12,1.28,1.75,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,33.03,12.53
month,Student,Active,11/01/19,0.02,0.05,0.07,0.25,0.42,0.93,0.35,0.53,0.65,0.3,1.47,0.9,0.47,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,25.85,57.8
month,Student,Active,10/01/19,7.15,0.83,0.88,2.65,2.52,0.68,0.42,1.0,2.13,2.07,2.18,1.9,2.03,2.22,3.27,4.15,4.03,2.08,0.0,0.0,0.0,42.2,82.43,415.28
month,Student,Active,09/01/19,0.87,0.47,0.12,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,4.53,2.82
month,Student,All,08/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0
month,Student,All,07/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,03/01/20,0.87,0.97,2.02,2.73,1.67,2.23,2.62,3.08,2.25,2.47,2.83,2.93,3.7,4.77,1.38,0.0,0.0,0.0,0.0,0.0,0.0,36.52,51.23,331.37
month,Student,All,02/01/20,0.43,0.23,0.0,0.07,0.0,0.05,0.02,0.08,0.08,0.22,0.28,0.4,0.6,0.63,0.8,0.05,0.0,0.0,0.0,0.0,0.0,3.95,9.55,42.55
month,Student,All,01/01/20,0.12,0.05,0.07,0.18,0.1,0.08,0.32,0.25,0.32,0.63,0.93,0.87,1.3,1.93,3.42,0.0,0.0,0.0,0.0,0.0,0.0,10.57,10.7,131.43
month,Student,All,12/01/19,0.03,0.25,0.55,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,33.03,16.12
month,Student,All,11/01/19,0.03,0.03,0.07,0.13,0.43,0.97,0.22,0.43,0.6,0.55,0.5,1.55,0.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,25.85,60.95
month,Student,All,10/01/19,6.98,0.7,0.53,1.27,1.18,1.87,0.48,0.4,1.6,2.17,1.95,1.37,2.73,3.28,2.27,4.23,5.83,3.48,0.0,0.0,0.0,42.33,82.43,457.77
month,Student,All,09/01/19,0.65,0.3,0.15,0.02,0.35,0.3,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,4.53,7.73
month,Teacher,Active,08/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0
month,Teacher,Active,07/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
